Team,G,Date,Opp,W/L,Pts Scored,Pts Allowed,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%-opp,TOV%-opp,DRB%,FT/FGA-opp
OKC,25,2018-12-10,UTA,W,122,113,116.00,107.40,105.20,0.46,0.25,0.60,48.90,58.10,11.40,3.60,0.55,14.30,26.10,0.33,0.56,17.10,73.80,0.23
OKC,26,2018-12-12,NOP,L,114,118,107.20,111.00,106.30,0.31,0.49,0.58,41.10,54.80,9.40,7.60,0.56,15.40,18.80,0.20,0.48,13.40,63.80,0.25
OKC,27,2018-12-14,DEN,L,98,109,103.50,115.10,94.70,0.32,0.21,0.48,47.30,37.80,9.50,8.20,0.45,11.20,34.50,0.19,0.57,18.20,66.70,0.17
OKC,28,2018-12-15,LAC,W,110,104,107.80,101.90,102.10,0.27,0.24,0.55,47.60,61.90,12.70,14.00,0.52,9.90,19.10,0.19,0.59,23.50,83.80,0.20
OKC,29,2018-12-17,CHI,W,121,96,119.50,94.80,101.20,0.37,0.24,0.58,54.40,55.80,13.80,3.20,0.53,15.50,37.80,0.30,0.49,20.00,71.10,0.14
OKC,30,2018-12-19,SAC,W,132,113,120.10,102.80,109.90,0.27,0.31,0.58,60.60,52.90,7.30,10.20,0.56,13.00,35.30,0.17,0.49,10.80,82.80,0.24
OKC,31,2018-12-22,UTA,W,107,106,102.80,101.90,104.10,0.25,0.28,0.54,53.70,45.20,10.60,8.50,0.52,14.70,19.00,0.16,0.51,11.40,81.10,0.12
OKC,32,2018-12-23,MIN,L,112,114,110.00,112.00,101.80,0.24,0.28,0.56,52.90,39.50,3.90,17.90,0.53,11.50,20.90,0.19,0.58,13.70,85.70,0.22
OKC,33,2018-12-25,HOU,L,109,113,105.80,109.70,103.00,0.21,0.31,0.51,49.10,53.50,11.60,20.80,0.48,12.30,32.70,0.14,0.53,15.40,66.70,0.11
OKC,34,2018-12-28,PHO,W,118,102,113.70,98.30,103.70,0.14,0.21,0.59,59.00,43.10,11.60,6.60,0.57,13.70,28.90,0.10,0.48,14.90,84.40,0.17
OKC,35,2018-12-30,DAL,L,103,105,99.80,101.70,103.20,0.23,0.41,0.50,44.30,42.50,14.50,4.80,0.48,9.70,14.90,0.15,0.54,20.20,78.00,0.21
OKC,36,2018-12-31,DAL,W,122,102,109.60,91.60,111.30,0.34,0.23,0.52,48.40,47.80,11.70,8.30,0.48,7.80,20.00,0.23,0.51,22.60,87.50,0.35
OKC,37,2019-01-02,LAL,W,107,100,97.10,90.80,110.20,0.29,0.29,0.45,54.20,55.00,7.30,8.10,0.41,8.50,27.00,0.19,0.46,14.20,85.50,0.21
OKC,38,2019-01-04,POR,W,111,109,108.80,106.80,102.10,0.28,0.27,0.53,49.50,45.00,8.80,9.40,0.47,8.70,22.00,0.24,0.48,10.30,77.60,0.19
OKC,39,2019-01-06,WAS,L,98,116,97.60,115.60,100.40,0.22,0.28,0.51,42.70,57.90,8.00,4.70,0.49,12.70,15.20,0.14,0.48,7.50,68.00,0.18
OKC,40,2019-01-08,MIN,L,117,119,118.30,120.30,98.90,0.31,0.35,0.61,50.60,51.20,4.00,8.50,0.58,14.20,27.00,0.22,0.48,8.50,68.80,0.36
DEN,1,2018-10-17,LAC,W,107,98,108.20,99.10,98.90,0.48,0.28,0.51,54.40,60.60,6.10,15.00,0.42,8.70,26.90,0.38,0.44,10.90,82.40,0.23
DEN,2,2018-10-20,PHO,W,119,91,116.20,88.80,102.40,0.34,0.33,0.61,57.40,65.10,11.70,15.80,0.56,15.50,23.10,0.28,0.45,17.10,81.80,0.29
DEN,3,2018-10-21,GSW,W,100,98,102.40,100.30,97.70,0.49,0.37,0.48,54.00,60.00,11.30,8.00,0.44,7.10,27.70,0.28,0.50,16.70,85.00,0.24
DEN,4,2018-10-23,SAC,W,126,112,125.60,111.60,100.30,0.15,0.30,0.60,55.70,60.80,11.00,5.50,0.57,10.20,33.30,0.13,0.60,14.40,79.10,0.10
DEN,5,2018-10-25,LAL,L,114,121,107.80,114.40,105.70,0.22,0.25,0.56,51.20,47.80,7.60,7.90,0.53,15.90,23.30,0.17,0.55,11.30,79.10,0.21
DEN,6,2018-10-29,NOP,W,116,111,111.00,106.20,104.50,0.25,0.38,0.56,48.20,66.70,13.40,8.60,0.51,11.20,19.60,0.23,0.59,19.50,82.10,0.17
DEN,7,2018-10-31,CHI,W,108,107,106.30,105.30,92.00,0.18,0.26,0.51,56.60,53.30,6.90,15.50,0.49,13.00,34.00,0.11,0.51,11.50,79.60,0.14
DEN,8,2018-11-01,CLE,W,110,91,125.80,104.10,87.40,0.25,0.31,0.58,55.70,53.70,9.20,10.80,0.54,11.30,38.90,0.21,0.44,12.50,69.80,0.22
DEN,9,2018-11-03,UTA,W,103,88,108.20,92.40,95.20,0.23,0.34,0.56,54.50,78.00,8.40,0.00,0.55,15.70,21.10,0.14,0.44,11.60,80.00,0.20
DEN,10,2018-11-05,BOS,W,115,107,119.00,110.70,96.70,0.31,0.38,0.56,54.00,61.00,5.20,7.10,0.53,11.30,31.30,0.22,0.56,11.50,82.10,0.12
DEN,11,2018-11-07,MEM,L,87,89,98.80,101.10,88.10,0.23,0.39,0.48,53.20,59.40,10.20,6.10,0.44,15.00,31.70,0.18,0.49,17.30,77.80,0.30
DEN,12,2018-11-09,BRK,L,110,112,112.50,114.60,97.80,0.39,0.21,0.54,56.30,50.00,3.10,9.10,0.49,10.50,33.30,0.29,0.48,7.00,76.50,0.32
DEN,13,2018-11-11,MIL,L,114,121,119.10,126.50,95.70,0.23,0.43,0.58,48.80,65.90,8.40,10.00,0.56,9.30,21.70,0.16,0.67,11.80,85.30,0.10
DEN,14,2018-11-13,HOU,L,99,109,111.00,122.20,89.20,0.21,0.33,0.60,49.20,71.10,12.30,5.90,0.57,16.20,21.20,0.16,0.64,14.50,80.00,0.25
DEN,15,2018-11-15,ATL,W,138,93,130.00,87.60,106.20,0.27,0.33,0.66,56.60,64.20,11.30,12.00,0.63,12.50,28.20,0.20,0.40,15.50,75.00,0.22
DEN,16,2018-11-17,NOP,L,115,125,113.70,123.60,101.10,0.14,0.41,0.57,48.30,65.20,4.90,9.70,0.56,11.40,21.70,0.08,0.54,9.70,76.70,0.36
DEN,17,2018-11-19,MIL,L,98,104,99.90,106.00,98.10,0.10,0.44,0.50,45.70,75.00,6.10,7.70,0.49,14.80,25.50,0.06,0.52,13.30,69.80,0.15
DEN,18,2018-11-21,MIN,W,103,101,108.40,106.30,95.10,0.07,0.39,0.56,50.00,69.00,12.60,8.50,0.55,12.40,22.00,0.06,0.50,15.80,79.50,0.28
DEN,19,2018-11-23,ORL,W,112,87,116.80,90.70,95.90,0.18,0.30,0.56,58.00,75.00,10.40,10.60,0.52,9.90,26.70,0.16,0.46,13.00,90.70,0.19
DEN,20,2018-11-24,OKC,W,105,98,105.20,98.20,99.80,0.25,0.32,0.50,50.00,66.70,6.00,14.10,0.46,11.70,30.00,0.18,0.40,8.10,67.20,0.15
DEN,21,2018-11-27,LAL,W,117,85,121.10,88.00,96.60,0.15,0.26,0.56,60.60,59.60,7.20,7.70,0.53,9.60,34.00,0.14,0.42,11.20,84.60,0.14
DEN,22,2018-11-30,POR,W,113,112,119.90,118.90,94.20,0.30,0.34,0.57,48.20,70.00,11.70,4.80,0.54,10.10,28.90,0.22,0.56,12.90,70.00,0.19
DEN,23,2018-12-03,TOR,W,106,103,104.60,101.60,101.40,0.27,0.32,0.53,54.40,80.00,8.90,4.30,0.51,16.70,30.60,0.17,0.52,15.60,82.90,0.14
DEN,24,2018-12-05,ORL,W,124,118,122.30,116.40,91.80,0.45,0.23,0.63,51.80,75.60,4.90,4.30,0.62,9.20,10.50,0.28,0.58,8.40,86.70,0.08
DEN,25,2018-12-07,CHO,L,107,113,112.00,118.30,95.60,0.26,0.35,0.48,53.40,61.50,6.30,23.50,0.43,7.40,36.40,0.21,0.46,8.10,72.90,0.40
DEN,26,2018-12-08,ATL,L,98,106,92.00,99.50,106.60,0.22,0.37,0.46,48.50,77.80,10.30,7.80,0.42,12.40,20.80,0.17,0.51,15.20,80.40,0.12
DEN,27,2018-12-10,MEM,W,105,99,119.50,112.70,87.90,0.30,0.36,0.60,54.10,56.40,12.50,12.80,0.56,13.00,28.20,0.23,0.56,14.70,82.90,0.22
DEN,28,2018-12-14,OKC,W,109,98,115.10,103.50,94.70,0.18,0.41,0.61,52.70,69.00,8.40,8.50,0.57,18.20,33.30,0.17,0.45,11.20,65.50,0.19
DEN,29,2018-12-16,TOR,W,95,86,107.10,97.00,88.70,0.19,0.35,0.52,46.30,58.30,7.90,7.50,0.48,8.00,20.80,0.15,0.44,10.50,72.30,0.10
DEN,30,2018-12-18,DAL,W,126,118,127.40,119.30,98.90,0.20,0.32,0.64,58.80,66.00,7.10,6.10,0.62,13.30,30.80,0.16,0.55,7.50,85.40,0.27
DEN,31,2018-12-22,LAC,L,111,132,110.30,131.20,100.60,0.26,0.32,0.51,39.80,51.20,9.90,6.90,0.47,7.70,23.20,0.21,0.63,13.10,64.90,0.17
DEN,32,2018-12-26,SAS,L,103,111,103.20,111.20,99.80,0.26,0.44,0.51,48.50,82.90,10.00,5.20,0.49,10.70,20.40,0.17,0.52,9.10,83.70,0.19
DEN,33,2018-12-28,SAS,W,102,99,109.10,105.90,93.50,0.20,0.34,0.55,57.80,74.40,5.30,6.50,0.52,17.80,38.10,0.17,0.49,9.30,75.00,0.12
DEN,34,2018-12-29,PHO,W,122,118,125.90,121.80,96.90,0.34,0.46,0.70,51.90,73.80,10.30,4.80,0.67,19.40,28.60,0.26,0.60,11.80,71.40,0.10
DEN,35,2019-01-01,NYK,W,115,108,124.40,116.90,92.40,0.24,0.36,0.55,55.20,81.80,7.60,9.10,0.53,7.10,36.40,0.16,0.51,7.30,71.20,0.14
DEN,36,2019-01-03,SAC,W,117,113,121.90,117.70,96.00,0.34,0.44,0.57,62.10,58.50,3.10,5.10,0.54,12.00,38.10,0.24,0.57,7.60,84.40,0.11
DEN,37,2019-01-05,CHO,W,123,110,127.00,113.60,96.80,0.20,0.38,0.56,49.50,63.80,10.30,11.30,0.53,5.90,32.70,0.15,0.54,15.40,70.70,0.26
DEN,38,2019-01-07,HOU,L,113,125,113.70,125.80,99.40,0.23,0.31,0.55,57.50,59.10,7.00,10.30,0.51,12.00,31.80,0.19,0.65,14.20,88.90,0.35
DEN,39,2019-01-08,MIA,W,103,99,113.10,108.70,91.10,0.20,0.31,0.55,56.80,78.00,2.20,3.80,0.52,14.50,34.10,0.14,0.51,6.00,79.50,0.18
PHI,1,2018-10-16,BOS,L,87,105,83.40,100.70,104.30,0.26,0.30,0.45,46.10,52.90,7.70,8.30,0.42,14.10,12.20,0.16,0.49,11.90,77.40,0.10
PHI,2,2018-10-18,CHI,W,127,108,117.20,99.60,108.40,0.32,0.39,0.60,58.50,68.20,9.20,11.80,0.54,10.90,24.40,0.29,0.49,10.10,89.80,0.09
PHI,3,2018-10-20,ORL,W,116,115,121.50,120.40,95.50,0.11,0.35,0.59,48.40,73.30,8.40,4.90,0.57,9.20,27.10,0.10,0.54,12.30,70.20,0.19
PHI,4,2018-10-23,DET,L,132,133,118.40,119.30,101.00,0.29,0.44,0.60,51.10,65.30,2.70,10.70,0.57,9.10,19.00,0.20,0.53,6.30,76.90,0.18
PHI,5,2018-10-24,MIL,L,108,123,97.00,110.50,111.30,0.33,0.37,0.51,49.50,76.30,3.60,8.80,0.47,13.20,16.00,0.23,0.47,8.90,82.40,0.28
PHI,6,2018-10-27,CHO,W,105,103,104.60,102.60,100.40,0.33,0.31,0.50,53.80,51.40,4.00,13.30,0.44,9.50,26.40,0.28,0.44,7.90,82.40,0.21
PHI,7,2018-10-29,ATL,W,113,92,107.10,87.20,105.50,0.18,0.47,0.53,57.70,80.50,6.60,15.80,0.48,15.10,30.20,0.17,0.41,11.20,82.80,0.15
PHI,8,2018-10-30,TOR,L,112,129,104.60,120.50,107.10,0.33,0.44,0.54,52.20,65.80,6.50,7.70,0.49,18.10,33.30,0.24,0.57,12.60,76.90,0.26
PHI,9,2018-11-01,LAC,W,122,113,114.30,105.90,106.70,0.30,0.29,0.58,50.60,65.90,6.60,11.10,0.54,11.70,22.70,0.23,0.49,15.20,80.50,0.33
PHI,10,2018-11-03,DET,W,109,99,102.90,93.50,105.90,0.74,0.42,0.60,50.60,75.00,10.40,5.70,0.47,15.70,7.50,0.64,0.43,14.40,85.70,0.34
PHI,11,2018-11-04,BRK,L,97,122,95.90,120.60,101.20,0.63,0.31,0.58,54.80,51.60,5.90,1.30,0.51,24.50,28.10,0.48,0.52,7.40,71.20,0.12
PHI,12,2018-11-07,IND,W,100,94,101.60,95.50,98.50,0.28,0.41,0.56,51.20,66.70,7.10,12.70,0.52,15.30,13.20,0.23,0.44,8.10,82.60,0.13
PHI,13,2018-11-09,CHO,W,133,132,118.00,117.10,102.10,0.44,0.39,0.59,54.60,73.30,2.70,21.40,0.54,12.50,27.10,0.33,0.46,3.00,76.70,0.27
PHI,14,2018-11-10,MEM,L,106,112,101.80,107.60,94.30,0.19,0.36,0.58,51.60,61.40,9.60,8.20,0.56,20.00,21.10,0.12,0.49,9.10,72.70,0.11
PHI,15,2018-11-12,MIA,W,124,114,128.50,118.10,96.50,0.47,0.43,0.62,51.20,61.50,5.20,0.00,0.56,8.20,23.80,0.37,0.56,14.10,80.00,0.35
PHI,16,2018-11-14,ORL,L,106,111,113.10,118.50,93.70,0.17,0.34,0.57,52.60,78.00,2.10,5.80,0.56,13.10,23.80,0.12,0.57,10.00,86.10,0.24
PHI,17,2018-11-16,UTA,W,113,107,111.10,105.20,101.70,0.40,0.28,0.59,51.30,61.00,6.90,7.60,0.57,15.20,25.60,0.25,0.49,11.10,75.60,0.24
PHI,18,2018-11-17,CHO,W,122,119,104.70,102.10,105.50,0.41,0.38,0.56,52.00,59.00,7.70,8.80,0.48,14.80,18.40,0.35,0.47,13.30,83.00,0.25
PHI,19,2018-11-19,PHO,W,119,114,113.90,109.10,104.50,0.50,0.26,0.58,63.10,58.50,7.70,1.90,0.52,15.60,33.30,0.37,0.58,11.80,88.90,0.15
PHI,20,2018-11-21,NOP,W,121,120,112.50,111.60,107.50,0.27,0.30,0.55,46.50,61.40,6.50,10.30,0.50,12.80,24.40,0.23,0.48,11.80,64.30,0.26
PHI,21,2018-11-23,CLE,L,112,121,123.00,132.90,91.00,0.35,0.44,0.65,42.50,67.50,5.50,2.80,0.61,10.40,12.50,0.27,0.59,7.40,65.90,0.13
PHI,22,2018-11-25,BRK,W,127,125,126.60,124.60,100.30,0.36,0.32,0.60,49.40,63.60,9.00,9.50,0.55,7.90,28.30,0.30,0.62,14.20,74.40,0.17
PHI,23,2018-11-28,NYK,W,117,91,116.50,90.60,100.40,0.18,0.29,0.62,54.90,72.30,7.00,7.90,0.61,14.50,21.10,0.13,0.38,11.30,79.20,0.23
PHI,24,2018-11-30,WAS,W,123,98,117.90,94.00,104.30,0.34,0.39,0.55,58.00,65.10,10.50,10.90,0.50,9.60,33.30,0.26,0.45,13.00,83.70,0.17
PHI,25,2018-12-02,MEM,W,103,95,104.40,96.30,98.70,0.41,0.30,0.59,55.70,61.10,5.10,3.90,0.54,15.50,8.60,0.31,0.49,13.60,93.20,0.23
PHI,26,2018-12-05,TOR,L,102,113,100.20,111.00,101.80,0.16,0.40,0.54,48.00,65.00,6.90,7.00,0.52,18.20,23.40,0.12,0.47,9.10,69.10,0.19
PHI,27,2018-12-07,DET,W,117,111,117.10,111.10,99.90,0.23,0.36,0.59,44.90,59.10,11.00,19.70,0.54,13.90,27.30,0.22,0.46,13.20,62.20,0.34
PHI,28,2018-12-10,DET,W,116,102,118.80,104.40,97.70,0.40,0.42,0.56,51.10,69.20,9.20,7.90,0.53,11.20,30.80,0.26,0.54,13.90,76.20,0.13
PHI,29,2018-12-12,BRK,L,124,127,122.30,125.30,101.40,0.18,0.31,0.63,50.00,62.00,10.90,6.50,0.61,14.80,25.00,0.13,0.61,14.70,79.40,0.50
PHI,30,2018-12-14,IND,L,101,113,104.10,116.50,97.00,0.31,0.41,0.51,51.00,47.20,5.20,6.70,0.46,13.80,32.10,0.23,0.48,6.20,74.40,0.22
PHI,31,2018-12-16,CLE,W,128,105,131.00,107.40,97.70,0.22,0.30,0.64,59.30,62.70,5.10,15.50,0.62,9.10,30.80,0.17,0.53,11.20,85.70,0.12
PHI,32,2018-12-17,SAS,L,96,123,100.20,128.40,95.80,0.07,0.38,0.47,47.70,72.50,3.10,7.80,0.46,9.00,22.60,0.05,0.61,6.00,87.90,0.18
PHI,33,2018-12-19,NYK,W,131,109,131.70,109.60,99.50,0.28,0.34,0.66,59.30,66.00,6.00,7.30,0.62,8.30,22.50,0.25,0.49,7.40,91.30,0.29
PHI,34,2018-12-22,TOR,W,126,101,117.50,94.20,107.20,0.41,0.28,0.63,56.40,71.70,9.30,12.70,0.59,9.90,10.80,0.31,0.44,12.70,86.00,0.18
PHI,35,2018-12-25,BOS,L,114,121,102.30,108.60,100.90,0.32,0.43,0.54,50.50,65.80,5.40,6.00,0.49,15.40,17.60,0.25,0.48,7.20,78.30,0.16
PHI,36,2018-12-27,UTA,W,114,97,116.70,99.30,97.60,0.21,0.41,0.61,51.60,72.10,7.20,13.70,0.58,12.20,22.00,0.17,0.45,14.00,76.00,0.23
PHI,37,2018-12-30,POR,L,95,129,88.60,120.30,107.30,0.28,0.45,0.44,37.90,52.90,14.00,3.30,0.40,9.30,14.80,0.20,0.66,18.30,79.40,0.23
PHI,38,2019-01-01,LAC,W,119,113,114.70,109.00,103.70,0.38,0.30,0.59,57.30,59.50,6.70,10.60,0.55,16.50,37.00,0.26,0.49,10.90,76.00,0.26
PHI,39,2019-01-02,PHO,W,132,127,123.90,119.20,106.60,0.73,0.32,0.68,54.30,67.50,8.40,4.90,0.61,14.80,25.00,0.55,0.51,11.90,73.50,0.32
PHI,40,2019-01-05,DAL,W,106,100,105.50,99.50,100.50,0.39,0.31,0.54,50.50,79.50,7.00,8.80,0.50,9.20,18.40,0.26,0.48,13.30,82.00,0.17
PHI,41,2019-01-08,WAS,W,132,115,128.30,111.80,102.90,0.28,0.38,0.67,59.00,79.60,9.70,3.80,0.65,16.10,31.70,0.19,0.58,14.60,85.70,0.20
MIN,1,2018-10-17,SAS,L,108,112,112.70,116.80,95.80,0.30,0.21,0.53,46.90,51.30,9.40,2.90,0.46,9.70,29.80,0.26,0.49,10.20,62.70,0.23
MIN,2,2018-10-19,CLE,W,131,123,126.70,119.00,103.40,0.40,0.29,0.64,48.20,63.60,8.70,10.00,0.56,11.30,23.10,0.38,0.53,11.70,70.50,0.27
MIN,3,2018-10-20,DAL,L,136,140,124.70,128.40,109.00,0.48,0.32,0.67,44.00,52.30,9.20,6.30,0.61,14.30,18.20,0.41,0.59,12.40,64.30,0.26
MIN,4,2018-10-22,IND,W,101,91,101.70,91.60,99.30,0.28,0.39,0.53,51.10,66.70,9.10,18.20,0.47,13.60,19.50,0.26,0.43,13.20,76.50,0.12
MIN,5,2018-10-24,TOR,L,105,112,107.90,115.10,97.30,0.17,0.31,0.51,50.00,62.50,10.30,8.80,0.49,12.70,32.70,0.10,0.58,14.50,71.80,0.10
MIN,6,2018-10-26,MIL,L,95,125,89.60,117.80,106.10,0.16,0.38,0.40,44.10,52.80,9.40,13.00,0.37,5.50,23.60,0.12,0.64,14.90,82.10,0.09
MIN,7,2018-10-29,LAL,W,124,120,119.40,115.60,103.80,0.31,0.30,0.56,51.50,61.90,10.60,16.90,0.50,11.20,39.20,0.27,0.53,14.00,64.60,0.10
MIN,8,2018-10-31,UTA,W,128,125,124.20,121.30,103.00,0.28,0.29,0.66,46.10,38.00,9.70,11.90,0.65,13.40,20.00,0.19,0.55,11.30,63.00,0.19
MIN,9,2018-11-02,GSW,L,99,116,98.30,115.10,100.80,0.14,0.45,0.46,39.00,65.80,7.90,7.40,0.44,4.50,14.00,0.10,0.56,14.10,72.10,0.19
MIN,10,2018-11-04,POR,L,81,111,84.40,115.60,96.00,0.23,0.32,0.40,36.50,62.10,9.40,6.90,0.35,9.70,21.00,0.17,0.48,13.80,59.50,0.33
MIN,11,2018-11-05,LAC,L,109,120,113.50,124.90,96.10,0.35,0.25,0.56,46.90,50.00,9.40,14.00,0.50,10.10,21.10,0.28,0.57,10.90,69.80,0.23
MIN,12,2018-11-07,LAL,L,110,114,113.00,117.10,97.30,0.10,0.44,0.58,46.00,53.70,10.30,8.80,0.56,13.60,23.90,0.09,0.57,14.10,70.70,0.12
MIN,13,2018-11-09,SAC,L,110,121,104.10,114.50,105.70,0.33,0.27,0.51,51.50,51.30,5.70,1.60,0.45,13.60,28.80,0.27,0.52,10.00,75.50,0.24
MIN,14,2018-11-12,BRK,W,120,113,116.10,109.30,103.40,0.39,0.29,0.64,55.30,61.90,7.70,11.80,0.59,19.70,28.10,0.33,0.48,10.50,69.40,0.15
MIN,15,2018-11-14,NOP,W,107,100,102.90,96.20,104.00,0.27,0.36,0.53,50.50,78.40,13.50,9.10,0.49,13.00,23.40,0.21,0.47,15.00,78.30,0.12
MIN,16,2018-11-16,POR,W,112,96,112.30,96.30,99.70,0.12,0.30,0.58,47.30,60.90,11.00,6.80,0.56,11.00,19.60,0.09,0.47,15.70,75.60,0.16
MIN,17,2018-11-18,MEM,L,87,100,92.60,106.40,94.00,0.20,0.36,0.50,53.30,64.50,8.50,5.60,0.46,18.70,23.30,0.16,0.50,11.40,79.60,0.22
MIN,18,2018-11-21,DEN,L,101,103,106.30,108.40,95.10,0.33,0.41,0.56,50.00,68.60,8.40,5.60,0.50,15.80,20.50,0.28,0.55,12.40,78.00,0.06
MIN,19,2018-11-23,BRK,W,112,102,117.00,106.50,95.70,0.18,0.27,0.56,45.20,56.80,15.70,11.80,0.53,6.60,19.60,0.16,0.51,16.60,76.30,0.28
MIN,20,2018-11-24,CHI,W,111,96,111.30,96.20,99.80,0.22,0.33,0.49,59.60,52.40,7.00,10.40,0.44,10.30,38.20,0.19,0.46,12.10,86.40,0.27
MIN,21,2018-11-26,CLE,W,102,95,109.10,101.60,93.50,0.22,0.30,0.54,49.40,45.00,8.60,14.50,0.51,7.80,20.50,0.16,0.48,14.80,77.50,0.15
MIN,22,2018-11-28,SAS,W,128,89,131.80,91.60,97.10,0.15,0.41,0.61,51.10,66.00,12.40,10.00,0.60,7.00,27.70,0.10,0.44,16.30,74.50,0.15
MIN,23,2018-12-01,BOS,L,109,118,109.70,118.70,99.40,0.39,0.34,0.57,49.40,51.40,6.00,4.90,0.51,14.30,21.40,0.32,0.57,12.90,81.10,0.25
MIN,24,2018-12-03,HOU,W,103,91,111.90,98.90,92.00,0.34,0.27,0.55,55.30,61.10,12.00,20.00,0.51,12.90,32.50,0.24,0.51,19.50,80.60,0.22
MIN,25,2018-12-05,CHO,W,121,104,121.70,104.60,99.50,0.23,0.27,0.62,55.60,70.80,6.00,16.90,0.61,13.30,27.00,0.15,0.47,8.70,75.50,0.12
MIN,26,2018-12-08,POR,L,105,113,105.20,113.20,99.80,0.24,0.18,0.52,43.00,62.50,12.00,14.00,0.48,10.60,20.40,0.20,0.53,16.50,68.20,0.30
MIN,27,2018-12-10,GSW,L,108,116,107.10,115.00,100.90,0.37,0.30,0.56,46.20,73.70,5.00,12.00,0.50,14.20,20.50,0.30,0.52,13.50,70.20,0.20
MIN,28,2018-12-12,SAC,L,130,141,129.70,140.60,100.30,0.29,0.24,0.62,50.60,60.00,4.00,8.30,0.59,9.50,29.30,0.23,0.69,9.10,75.00,0.26
MIN,29,2018-12-15,PHO,L,99,107,98.80,106.80,100.20,0.20,0.36,0.47,44.60,66.70,10.00,6.50,0.44,9.50,21.60,0.15,0.51,13.20,73.20,0.18
MIN,30,2018-12-17,SAC,W,132,105,123.50,98.20,106.90,0.31,0.28,0.60,60.40,77.10,9.40,13.50,0.55,9.20,25.60,0.27,0.50,13.00,88.70,0.17
MIN,31,2018-12-19,DET,L,123,129,113.70,119.30,98.00,0.28,0.32,0.53,52.70,48.90,7.40,8.70,0.48,5.70,23.40,0.23,0.60,10.90,82.60,0.18
MIN,32,2018-12-21,SAS,L,98,124,100.10,126.70,97.90,0.37,0.25,0.51,43.80,57.60,11.20,9.30,0.43,11.00,18.80,0.31,0.64,14.40,73.20,0.15
MIN,33,2018-12-23,OKC,W,114,112,112.00,110.00,101.80,0.33,0.33,0.60,47.10,61.00,8.80,7.70,0.58,13.70,14.30,0.22,0.53,11.50,79.10,0.19
MIN,34,2018-12-26,CHI,W,119,94,121.60,96.00,97.90,0.20,0.34,0.59,53.60,56.50,4.10,1.40,0.55,9.80,26.70,0.17,0.44,8.90,76.90,0.10
MIN,35,2018-12-28,ATL,L,120,123,108.20,110.90,100.50,0.39,0.33,0.52,44.80,63.60,12.60,13.80,0.51,10.90,28.10,0.21,0.55,17.50,64.60,0.13
MIN,36,2018-12-30,MIA,W,113,104,113.40,104.30,99.70,0.38,0.26,0.51,48.50,63.20,11.00,15.20,0.45,8.30,32.70,0.31,0.46,15.70,65.30,0.24
MIN,37,2018-12-31,NOP,L,114,123,118.50,127.90,96.20,0.25,0.30,0.55,47.00,67.40,10.40,14.50,0.51,6.40,26.70,0.20,0.60,13.50,71.10,0.22
MIN,38,2019-01-02,BOS,L,102,115,106.80,120.40,95.50,0.25,0.27,0.55,50.70,60.00,7.30,4.30,0.52,13.10,21.10,0.18,0.67,16.20,89.70,0.17
MIN,39,2019-01-04,ORL,W,120,103,119.40,102.50,100.50,0.25,0.29,0.59,60.70,61.70,6.00,3.30,0.57,9.80,25.00,0.19,0.53,10.20,89.80,0.11
MIN,40,2019-01-06,LAL,W,108,86,103.80,82.60,104.10,0.24,0.36,0.55,51.00,58.50,9.60,13.80,0.52,12.50,18.20,0.17,0.40,17.50,77.80,0.20
MIN,41,2019-01-08,OKC,W,119,117,120.30,118.30,98.90,0.44,0.34,0.55,49.40,65.80,9.10,7.30,0.48,8.50,31.30,0.36,0.58,14.20,73.00,0.22
BRK,1,2018-10-17,DET,L,100,103,100.00,103.00,100.00,0.27,0.33,0.55,45.90,70.00,9.00,7.40,0.52,15.60,13.50,0.18,0.46,12.10,70.80,0.21
BRK,2,2018-10-19,NYK,W,107,105,114.10,112.00,93.80,0.32,0.40,0.62,60.40,59.50,2.10,8.70,0.57,20.50,33.30,0.28,0.45,2.80,78.20,0.19
BRK,3,2018-10-20,IND,L,112,132,109.90,129.50,101.90,0.26,0.43,0.58,50.00,61.00,5.90,8.80,0.57,17.30,23.10,0.16,0.64,9.00,75.60,0.15
BRK,4,2018-10-24,CLE,W,102,86,107.40,90.50,95.00,0.17,0.39,0.55,45.40,60.50,8.40,1.40,0.52,13.00,17.80,0.14,0.40,13.50,69.20,0.17
BRK,5,2018-10-26,NOP,L,115,117,112.20,114.10,102.50,0.15,0.41,0.55,54.00,60.50,5.90,10.70,0.54,14.70,34.00,0.10,0.49,9.10,71.70,0.20
BRK,6,2018-10-28,GSW,L,114,120,114.30,120.30,99.70,0.17,0.48,0.61,44.00,66.70,5.00,5.40,0.60,13.80,12.50,0.12,0.56,10.80,72.70,0.24
BRK,7,2018-10-29,NYK,L,96,115,106.10,127.10,90.50,0.26,0.45,0.51,37.60,64.70,6.60,10.30,0.47,9.60,22.90,0.20,0.54,11.50,56.80,0.17
BRK,8,2018-10-31,DET,W,120,119,109.70,108.80,99.10,0.30,0.38,0.53,50.00,60.50,4.60,5.10,0.48,12.30,30.50,0.22,0.48,12.70,72.50,0.32
BRK,9,2018-11-02,HOU,L,111,119,120.10,128.80,92.40,0.23,0.40,0.59,48.10,52.40,5.40,9.10,0.58,9.60,23.10,0.14,0.58,8.50,72.50,0.27
