indicator,ISO Country code,population,surface area (Km2),GINI index,happy planet index,human development index,world happiness report score,sustainable economic development assessment (SEDA),"GDP 
(billions PPP)",GDP per capita (PPP),"GDP growth
(annual %)","health expenditure 
% of GDP","health expenditure 
per person","education expenditure
% of GDP","education expenditure 
per person ",school life expectancy (YEARS),unemployment (%),government spending score,government expenditure (% of GDP),political rights score ,civil liberties score ,political stability & absence of violence,government effectiveness,regulatory quality,rule of law,control of corruption,judicial effectiveness score,government integrity score,property rights score,tax burden score,overall economic freedom score,financial freedom score,women MPs (% of all MPs)
"Gambia, The",GMB,2100000,10120,50.2,,0.46,,,3.4,1667.0,4.4,6.6,,,,9.0,29.7,74.0,29.4,4,5,,,,,,38.8,36.8,34.4,71.9,52.3,50.0,10.3
Georgia,GEO,3700000,69700,40.1,31.1,0.78,4.45,55.4,37.2,10044.0,2.8,7.9,718.0,,,15.0,11.6,73.3,29.8,3,3,-0.37,0.6,1.1,0.33,0.74,64.2,61.8,62.8,87.0,76.2,60.0,16.0
Germany,DEU,83000000,348672,27.0,29.8,0.9359999999999999,7.07,79.6,3980.3,48111.0,1.5,11.2,,4.9,,17.0,4.3,41.3,44.2,1,1,0.58,1.7,1.8,1.61,1.84,78.0,75.3,81.0,61.3,74.2,70.0,37.0
Ghana,GHA,29000000,227533,42.3,21.4,0.5920000000000001,5.48,40.2,121.7,4412.0,3.5,5.9,249.0,6.2,89.0,12.0,5.8,79.0,26.5,1,2,0.09,-0.1,-0.1,0.13,-0.23,43.7,32.9,48.9,83.5,56.0,60.0,12.7
Greece,GRC,11000000,130647,36.7,23.6,0.87,5.15,64.1,289.4,26669.0,-0.2,8.4,,,,18.0,23.9,20.9,51.3,2,2,-0.13,0.3,0.2,0.08,-0.14,59.0,37.9,52.3,60.4,57.3,40.0,18.3
Grenada,GRD,108000,344,,,0.772,,,,,,5.0,677.0,,,17.0,,,,1,2,1.03,-0.2,-0.1,0.44,0.48,,,,,,,33.3
Guatemala,GTM,17000000,107159,53.0,34.2,0.65,6.33,42.5,131.7,7899.0,4.0,5.7,444.0,2.9,108.0,11.0,2.4,95.3,12.5,4,4,-0.57,-0.6,-0.3,-1.06,-0.74,33.1,27.3,40.4,79.2,63.4,50.0,12.7
Guinea,GIN,13000000,245717,39.4,,0.45899999999999996,4.87,28.3,16.0,1265.0,0.1,4.5,57.0,2.4,18.0,9.0,6.8,80.6,25.4,5,5,-0.61,-1.0,-0.8,-1.23,-1.01,28.2,26.9,32.4,65.9,52.2,40.0,21.9
Guinea-Bissau,GNB,1700000,28120,,,0.455,,,2.9,1730.0,4.8,6.9,100.0,,,,6.5,85.6,21.9,5,5,-0.6,-1.8,-1.2,-1.44,-1.56,53.5,27.3,31.1,86.4,56.9,30.0,13.7
Guyana,GUY,800000,196849,44.6,,0.654,,42.8,6.0,7873.0,3.0,4.5,336.0,,,10.0,11.4,70.8,31.2,2,3,-0.04,-0.3,-0.4,-0.29,-0.51,42.5,34.8,42.1,68.4,58.7,30.0,31.9
Haiti,HTI,11000000,27560,60.8,28.6,0.498,3.82,24.2,19.4,1784.0,1.0,6.9,120.0,,,,13.2,85.6,21.9,5,5,-0.7,-2.1,-1.3,-1.09,-1.24,42.5,24.6,25.1,80.1,55.8,30.0,2.5
Honduras,HND,9000000,111890,47.1,27.2,0.617,6.02,41.9,43.2,5272.0,3.6,7.6,353.0,,,11.0,6.3,76.6,27.9,4,4,-0.55,-0.5,-0.4,-1.05,-0.72,34.5,28.2,44.3,82.8,60.6,60.0,25.8
Hungary,HUN,10000000,89608,28.2,26.4,0.838,6.07,66.1,270.3,27482.0,2.9,7.2,,4.6,658.0,15.0,5.2,29.4,48.5,3,2,0.81,0.5,0.7,0.53,0.09,57.1,36.4,57.6,78.6,66.7,70.0,10.1
Iceland,ISL,300000,100250,28.0,31.1,0.935,7.48,83.7,16.5,49136.0,4.0,8.6,,,,20.0,3.8,44.2,43.1,1,1,1.37,1.5,1.4,1.61,1.84,72.6,77.3,86.7,72.1,77.0,70.0,47.6
India,IND,1339000000,2973193,35.2,29.2,0.64,4.05,40.0,8662.4,6616.0,7.3,3.9,238.0,,,12.0,3.5,77.7,27.3,2,3,-0.83,0.1,-0.3,0.0,-0.24,54.3,47.2,55.4,79.4,54.5,40.0,11.8
Indonesia,IDN,264000000,1811569,36.8,35.7,0.6940000000000001,5.1,46.4,3032.1,11720.0,4.8,3.3,369.0,3.3,115.0,13.0,5.6,90.7,17.6,2,4,-0.51,0.0,-0.1,-0.35,-0.25,45.2,42.8,49.3,83.7,64.2,60.0,19.8
Iran,IRN,81000000,1531595,44.5,24.0,0.7979999999999999,4.72,48.0,1454.5,18078.0,0.0,7.6,,2.8,155.0,15.0,11.3,91.1,17.2,6,6,-0.93,-0.2,-1.2,-0.68,-0.81,35.3,32.6,32.5,81.0,50.9,10.0,5.9
Iraq,IRQ,38000000,437367,,26.5,0.685,4.46,37.0,647.2,17944.0,2.4,3.4,481.0,,,,16.0,45.4,42.7,5,6,-2.33,-1.3,-1.2,-1.64,-1.37,11.4,23.4,36.7,,,,25.3
Ireland,IRL,4700000,68883,31.3,30.0,0.938,7.06,80.3,324.9,69231.0,7.8,7.8,,,,19.0,8.1,69.6,31.9,1,1,1.02,1.3,1.6,1.43,1.55,79.0,79.0,87.7,76.1,80.4,70.0,22.2
Israel,ISR,9000000,20330,42.8,28.8,0.903,7.33,66.5,300.6,35179.0,2.6,7.4,,5.7,,16.0,5.6,51.8,40.1,1,3,-0.88,1.4,1.3,1.02,0.83,83.1,61.2,78.2,60.9,72.2,70.0,27.5
Italy,ITA,61000000,294140,31.9,28.1,0.88,6.2,69.1,2234.5,36833.0,0.8,9.0,,4.1,,16.0,11.5,24.1,50.3,1,1,0.24,0.5,0.7,0.32,0.19,60.9,40.1,71.2,55.2,62.5,50.0,31.0
Jamaica,JAM,2800000,10831,35.0,36.9,0.732,5.89,49.7,25.4,8976.0,1.1,5.9,511.0,6.0,292.0,,13.3,77.2,27.6,2,3,0.25,0.5,0.1,-0.16,-0.17,56.6,39.4,60.9,80.0,69.1,50.0,17.5
Japan,JPN,127000000,364485,37.9,28.3,0.909,5.91,75.2,5237.8,41275.0,0.5,10.9,,3.6,,15.0,3.1,54.1,39.1,1,1,1.12,1.6,1.4,1.57,1.52,73.2,79.2,86.0,67.4,72.3,60.0,9.3
Jordan,JOR,10000000,88802,39.7,,0.735,4.81,48.7,85.6,12278.0,2.5,6.3,568.0,,,13.0,13.2,69.4,32.0,5,5,-0.53,0.1,0.1,0.26,0.26,57.3,51.9,57.6,92.4,64.9,60.0,15.4
Kazakhstan,KAZ,18000000,2699700,26.3,19.1,0.8,5.88,57.7,451.3,25145.0,1.2,3.9,903.0,,,15.0,5.2,85.3,22.2,7,5,0.02,0.0,0.2,-0.41,-0.82,58.1,44.6,56.0,92.6,69.1,50.0,27.1
Kenya,KEN,50000000,569140,48.5,24.2,0.59,4.48,35.4,152.8,3361.0,5.6,5.2,157.0,5.3,70.0,11.0,11.0,77.5,27.4,4,4,-1.08,-0.3,-0.2,-0.41,-0.96,44.0,27.5,47.9,78.5,54.7,50.0,21.8
Kiribati,KIR,100000,811,,,0.612,,,0.2,1823.0,4.2,7.6,152.0,,,12.0,,0.0,117.6,1,1,0.9,-0.3,-0.8,0.53,0.39,35.3,37.9,45.0,72.4,50.8,30.0,6.5
Korea (Dem. People’s Rep.),PRK,25000000,120408,,,,,,15.1,,1.0,,,,,11.0,4.3,0.0,,7,7,-0.48,-1.7,-2.3,-1.71,-1.48,5.0,25.2,29.8,0.0,5.8,0.0,16.3
Korea (Rep.),KOR,51000000,96920,35.7,24.8,0.903,5.87,,1934.0,37740.0,2.6,7.4,,5.1,,17.0,3.7,68.8,32.3,2,2,0.29,1.1,1.1,1.16,0.48,63.7,49.9,79.4,73.3,73.8,70.0,17.0
Kosovo,-,1900000,10887,23.2,,,6.15,,18.4,9600.0,3.3,,,,,,,77.9,27.1,3,4,-0.21,-0.4,-0.1,-0.42,-0.5,59.0,45.4,52.3,93.2,66.6,30.0,
Kuwait,KWT,4200000,17818,,,0.8029999999999999,6.09,65.7,303.7,71887.0,0.9,4.0,,,,13.0,2.4,20.5,51.5,5,5,-0.04,-0.2,-0.1,0.1,-0.33,53.5,36.6,52.0,97.7,62.2,60.0,3.1
Kyrgyzstan,KGZ,6000000,191801,33.4,33.1,0.672,5.63,45.4,21.5,3521.0,3.5,8.2,287.0,5.5,71.0,13.0,7.7,58.2,37.3,5,5,-0.43,-0.7,-0.4,-0.93,-1.05,22.1,29.4,50.2,93.8,62.8,50.0,19.2
Laos,LAO,7000000,230800,36.7,,0.601,4.62,37.8,40.9,5710.0,7.0,2.8,,2.9,59.0,11.0,1.5,79.3,26.3,7,6,0.43,-0.4,-0.7,-0.88,-0.94,41.4,33.1,34.1,86.7,53.6,20.0,27.5
Latvia,LVA,2000000,62249,34.5,17.1,0.847,6.09,66.1,50.6,25710.0,2.7,5.8,,5.3,828.0,16.0,9.9,59.0,37.0,2,2,0.46,0.9,1.2,0.93,0.54,58.9,45.4,68.3,84.0,73.6,60.0,16.0
Lebanon,LBN,4600000,10230,,21.9,0.757,5.15,44.8,85.2,18525.0,1.0,7.4,,,,11.0,6.8,78.2,26.9,6,4,-1.59,-0.5,-0.3,-0.82,-1.0,33.6,20.2,39.7,91.9,53.2,50.0,3.1
Lesotho,LSO,1900000,30355,63.2,16.7,0.52,,29.5,7.0,3601.0,2.5,8.4,251.0,,,11.0,27.4,23.8,50.4,3,3,-0.25,-0.9,-0.3,-0.27,-0.03,52.7,32.9,49.4,48.2,53.9,40.0,22.9
Liberia,LBR,4400000,96320,32.0,22.2,0.435,4.42,30.6,3.8,855.0,0.0,15.2,128.0,,,,4.0,59.4,36.8,3,3,-0.41,-1.4,-1.0,-0.97,-0.69,42.4,32.0,28.2,77.5,50.9,20.0,12.3
Libya,LBY,6000000,1759540,,,0.706,5.65,,55.4,8679.0,-6.4,,,,,,19.2,0.0,92.9,7,6,-2.33,-1.8,-2.2,-1.78,-1.59,22.1,23.1,5.2,90.5,,,16.0
Liechtenstein,LIE,38000,160,,,0.9159999999999999,,,6.1,160526.0,1.2,,,,,15.0,2.4,,,2,1,1.5,1.8,1.5,1.67,2.06,,,,,,80.0,12.0
Lithuania,LTU,2900000,62680,37.9,21.0,0.858,6.27,67.4,86.1,29972.0,1.6,6.5,,4.5,742.0,17.0,9.2,63.9,34.7,1,1,0.78,1.0,1.2,0.99,2.06,66.7,50.9,73.8,86.4,75.3,70.0,21.3
Luxembourg,LUX,600000,2586,30.4,13.2,0.904,7.06,83.2,59.9,104003.0,4.5,6.0,,4.0,,14.0,5.9,48.5,41.4,1,1,1.34,1.7,1.7,1.74,1.99,77.9,79.0,82.7,65.1,76.4,80.0,28.3
Macedonia,MKD,2100000,25433,33.7,23.4,,5.23,52.5,30.3,14597.0,3.7,6.1,857.0,,,13.0,26.7,70.3,31.5,4,3,-0.25,0.1,0.5,-0.24,-0.31,57.0,47.4,64.8,91.6,71.3,60.0,34.2
Madagascar,MDG,26000000,581540,41.0,,0.519,4.08,31.1,37.5,1505.0,3.0,5.2,77.0,,,11.0,2.1,92.9,15.4,3,4,-0.33,-1.1,-0.7,-0.86,-1.05,21.4,17.8,33.2,90.3,56.8,50.0,19.2
Malawi,MWI,19000000,94080,46.1,22.1,0.47700000000000004,3.42,32.5,21.1,1135.0,3.0,9.3,108.0,4.8,17.0,11.0,6.7,70.7,31.3,3,3,-0.27,-0.7,-0.8,-0.37,-0.65,47.1,28.9,33.1,76.9,52.0,50.0,16.7
Malaysia,MYS,32000000,328657,46.2,30.3,0.802,,59.8,863.3,27267.0,5.0,4.0,,5.2,583.0,13.0,3.3,81.3,24.9,4,4,0.16,0.8,0.7,0.41,0.03,65.2,54.8,83.8,85.6,74.5,50.0,10.4
Maldives,MDV,400000,298,38.4,,0.7170000000000001,,,5.5,15553.0,1.9,11.5,,3.5,314.0,,3.2,45.5,42.6,5,5,0.26,-0.5,-0.4,-0.62,-0.79,38.8,36.6,45.0,94.3,51.1,30.0,5.9
Mali,MLI,19000000,1220190,40.1,,0.42700000000000005,4.74,29.7,38.1,2266.0,6.1,5.8,118.0,3.6,31.0,8.0,8.1,85.3,22.2,5,4,-1.91,-0.9,-0.6,-0.78,-0.63,32.4,31.4,31.9,68.1,57.6,40.0,8.8
Malta,MLT,400000,316,28.1,29.0,0.878,6.68,68.8,17.3,39834.0,6.3,9.6,,7.2,,15.0,5.3,51.0,40.4,1,1,1.27,1.0,1.3,1.14,0.74,62.8,49.9,68.1,64.7,68.5,60.0,11.9
Marshall Islands,MHL,53000,181,,,0.708,,,,,,22.1,863.0,,,,,,,1,1,0.2,-1.6,-1.0,0.14,0.0,,,,,,,9.1
Mauritania,MRT,3800000,1030700,37.0,18.0,0.52,4.68,28.9,16.4,4328.0,1.9,4.6,177.0,,,9.0,11.7,72.8,30.1,6,5,-0.62,-0.7,-0.8,-0.6,-0.75,17.6,28.9,23.9,75.9,54.0,40.0,25.2
Mauritius,MUS,1300000,2030,35.9,27.4,0.79,6.17,60.2,25.9,20422.0,3.4,5.5,,4.9,499.0,15.0,7.8,80.7,25.4,1,2,0.99,0.9,1.0,0.68,0.2,69.6,52.1,68.7,91.0,75.1,70.0,11.6
Mexico,MEX,129000000,1943945,48.2,40.7,0.774,6.41,49.1,2315.7,18938.0,2.5,5.9,,5.3,564.0,13.0,4.0,78.1,27.0,3,3,-0.65,0.0,0.2,-0.57,-0.93,39.0,26.9,58.6,75.7,64.8,60.0,42.6
Micronesia,FSM,100000,702,61.1,,0.627,,,0.3,3234.0,-0.2,13.1,458.0,,,,,7.4,55.6,1,1,1.2,0.1,-1.0,0.01,0.75,25.4,38.8,5.2,93.2,52.3,30.0,0.0
Moldova,MDA,3600000,32891,26.8,,0.7,5.33,48.7,18.9,5328.0,-1.1,10.2,515.0,7.5,168.0,12.0,5.0,56.7,38.0,3,3,-0.24,-0.5,0.0,-0.41,-0.8,26.3,26.6,53.5,85.3,58.4,50.0,22.8
Monaco,MCO,39000,2,,,,,,,,,2.0,,1.0,,,,,,3,1,1.65,,,,,,,,,,,20.8
Mongolia,MNG,3000000,1553556,34.0,14.3,0.741,5.33,50.6,37.0,12275.0,2.3,3.9,470.0,4.7,197.0,15.0,6.7,57.1,37.8,1,2,0.82,-0.3,-0.1,-0.3,-0.45,30.9,34.8,51.0,88.4,55.7,60.0,17.1
Montenegro,MNE,600000,13452,31.9,25.1,0.8140000000000001,5.61,,10.4,16643.0,4.1,6.0,957.0,,,15.0,17.5,35.7,46.3,3,3,0.01,0.2,0.3,0.01,-0.09,51.3,38.1,54.2,85.2,64.3,50.0,23.5
Morocco,MAR,36000000,446300,40.9,32.7,0.667,5.31,45.8,281.8,8330.0,4.5,5.5,435.0,,,12.0,10.0,70.5,31.4,5,5,-0.41,-0.2,-0.2,-0.17,-0.13,44.3,41.3,53.8,70.5,61.9,70.0,20.5
Mozambique,MOZ,30000000,786380,45.6,23.7,0.43700000000000006,4.28,26.7,34.9,1215.0,6.3,5.4,64.0,,,10.0,24.4,60.7,36.2,4,4,-0.98,-0.9,-0.7,-1.01,-0.86,36.3,28.2,35.4,70.6,46.3,50.0,39.6
Myanmar,MMR,53000000,676575,,24.7,0.578,4.15,37.0,304.7,5832.0,7.0,4.9,267.0,,,,0.8,84.7,22.6,5,5,-1.08,-1.1,-0.8,-0.95,-0.56,17.6,28.2,32.5,86.3,53.9,20.0,10.2
Namibia,NAM,2300000,823290,59.7,21.6,0.647,4.44,39.1,26.0,11290.0,4.5,8.9,942.0,,,,25.6,50.4,40.7,2,2,0.65,0.2,-0.2,0.24,0.32,54.2,45.4,56.6,63.0,58.5,40.0,41.3
Nauru,NRU,14000,21,,,,,,,,,4.8,,,,9.0,,,,2,2,0.57,-0.4,-1.1,-0.73,-0.47,,,,,,,10.5
Nepal,NPL,29000000,143351,32.8,30.5,0.574,4.74,41.7,71.5,2479.0,3.4,6.1,151.0,4.0,28.0,12.0,3.2,87.6,20.3,3,4,-0.66,-0.9,-0.7,-0.68,-0.75,36.2,24.6,37.5,84.2,54.1,30.0,29.6
Netherlands,NLD,17000000,33893,30.3,35.3,0.9309999999999999,7.46,80.3,869.4,51049.0,1.9,10.7,,5.5,,18.0,6.2,39.1,45.0,1,1,0.92,1.9,2.1,1.83,1.87,74.1,86.0,87.9,52.5,76.2,80.0,36.0
New Zealand,NZL,4700000,264537,36.2,31.3,0.917,7.33,78.6,177.0,37294.0,3.4,9.3,,6.4,,19.0,5.2,49.5,41.0,1,1,1.59,1.8,2.1,1.92,2.24,88.4,95.7,95.1,70.5,84.2,80.0,34.2
Nicaragua,NIC,6000000,119990,47.1,38.7,0.6579999999999999,6.48,43.5,33.6,5452.0,4.5,7.8,406.0,,,,5.9,80.0,25.8,5,4,-0.05,-0.6,-0.7,-0.64,-0.87,19.0,24.2,29.8,77.2,58.9,50.0,45.7
Niger,NER,21000000,1266700,34.0,16.8,0.354,4.62,,20.1,1107.0,4.0,7.2,68.0,6.7,29.0,5.0,2.6,72.9,30.1,4,4,-1.3,-0.7,-0.7,-0.68,-0.65,32.6,30.4,37.4,73.3,49.5,40.0,17.0
Nigeria,NGA,191000000,910768,48.8,22.2,0.532,5.32,26.5,1091.2,5942.0,2.7,3.6,215.0,,,9.0,5.0,96.3,11.0,3,5,-1.94,-1.0,-0.9,-0.87,-1.07,39.6,14.4,38.0,84.4,58.5,40.0,5.6
Norway,NOR,5000000,304282,26.8,36.8,0.953,7.58,85.3,364.4,69250.0,1.6,10.0,,7.7,,18.0,4.8,29.2,48.6,1,1,1.15,2.0,1.8,2.02,2.24,86.0,93.6,86.4,56.4,74.3,60.0,39.6
Oman,OMN,4000000,309500,,21.1,0.821,,62.1,184.8,46698.0,4.1,2.7,,,,14.0,17.5,25.0,50.0,6,5,0.74,0.2,0.4,0.43,0.25,57.4,51.5,59.5,98.5,61.0,60.0,1.2
Pakistan,PAK,197000000,770875,30.7,31.5,0.562,5.83,27.9,988.2,5106.0,4.2,2.7,134.0,2.5,32.0,8.0,5.9,88.2,19.8,4,5,-2.4,-0.6,-0.6,-0.72,-0.78,34.0,27.3,36.0,78.5,54.4,40.0,20.6
Palau,PLW,22000,459,,,0.7979999999999999,,,,,,10.6,,,,17.0,,,,1,1,0.94,-0.2,-0.6,0.28,-0.47,,,,,,,12.5
Panama,PAN,4000000,74340,50.7,39.5,0.789,6.57,54.5,92.9,23024.0,5.8,7.0,,,,13.0,5.8,84.1,23.1,2,2,0.39,0.0,0.4,0.04,-0.54,29.4,38.8,60.9,85.0,67.0,70.0,18.3
Papua New Guinea,PNG,8000000,452860,50.9,,0.544,,,28.0,3541.0,9.0,3.8,99.0,,,,2.5,82.0,24.5,3,3,-0.58,-0.7,-0.7,-0.82,-0.9,55.1,33.1,38.0,71.1,55.7,30.0,0.0
Paraguay,PRY,7000000,397302,51.7,23.3,0.7020000000000001,,46.2,64.4,9396.0,3.0,7.8,724.0,,,12.0,5.4,82.2,24.4,3,3,0.12,-0.8,-0.2,-0.65,-0.72,28.2,28.3,38.3,96.1,62.1,60.0,13.8
Peru,PER,32000000,1279996,45.3,34.6,0.75,5.71,49.3,406.2,12903.0,3.3,5.3,671.0,3.7,240.0,13.0,4.9,85.6,21.9,2,3,-0.26,-0.1,0.4,-0.5,-0.5,33.5,36.6,56.9,80.6,68.7,60.0,27.7
Philippines,PHL,105000000,298170,44.4,35.0,0.6990000000000001,5.59,44.5,805.2,7728.0,5.8,4.4,323.0,,,13.0,5.9,89.3,18.9,3,3,-1.24,-0.1,0.0,-0.41,-0.48,38.2,34.4,45.0,78.9,65.0,60.0,29.5
Poland,POL,38000000,304255,30.8,27.5,0.865,6.2,67.7,1054.1,27764.0,3.6,6.3,,4.9,705.0,16.0,6.2,47.8,41.7,1,2,0.52,0.6,0.9,0.47,0.73,56.6,50.9,61.8,75.9,68.5,70.0,28.0
Portugal,PRT,10000000,91470,33.9,24.8,0.847,5.71,70.8,298.7,28933.0,1.5,9.0,,5.1,,17.0,11.2,29.8,48.4,1,1,1.08,1.3,0.9,1.13,0.87,70.1,56.8,69.2,59.8,63.4,60.0,34.8
Qatar,QAT,2600000,11586,,,0.856,,70.8,329.2,127660.0,3.3,2.7,,3.6,,13.0,0.2,60.2,36.4,6,5,0.55,0.7,0.4,0.72,0.73,59.8,71.6,70.3,99.6,72.6,60.0,0.0
Romania,ROU,20000000,229891,27.3,28.8,0.8109999999999999,6.09,60.0,441.6,22348.0,3.7,10.6,,3.1,313.0,15.0,6.4,66.9,33.2,2,2,0.06,-0.2,0.5,0.39,-0.03,59.7,40.0,61.0,87.3,69.4,50.0,20.7
Russia,RUS,144000000,16377742,41.2,18.7,0.816,5.58,57.0,3799.7,26490.0,-3.7,7.0,,,,15.0,5.7,62.5,35.3,7,6,-0.67,-0.1,-0.5,-0.79,-0.89,46.9,38.1,48.7,85.8,58.2,30.0,15.8
Rwanda,RWA,12000000,24668,50.4,19.6,0.524,,38.0,22.8,1977.0,6.9,3.8,143.0,,,11.0,2.5,77.7,27.2,6,6,0.04,0.3,0.2,0.13,0.63,79.6,61.2,69.8,75.8,69.1,40.0,61.3
Saint Kitts and Nevis,KNA,55000,261,,,0.778,,,,,,5.6,,,,,,,,1,1,0.64,0.6,0.6,0.53,0.51,,,,,,,13.3
Saint Lucia,LCA,200000,606,,,0.747,,,2.1,11783.0,1.6,6.0,681.0,4.3,381.0,,19.8,72.4,30.3,1,1,1.15,0.3,0.3,0.6,0.59,69.2,50.9,67.9,75.5,67.6,40.0,16.7
Saint Vincent and the Grenadines,VCT,100000,389,,,0.723,,,1.2,11271.0,1.6,4.2,470.0,,,,19.3,72.7,30.1,1,1,0.9,0.3,0.3,0.43,0.72,69.2,51.5,36.7,72.7,67.7,40.0,13.0
Samoa,WSM,200000,2821,,,0.713,,,1.1,5553.0,1.7,7.8,336.0,,,,7.2,55.1,38.7,2,2,1.2,0.6,-0.1,0.87,0.66,38.8,40.1,53.1,79.9,61.5,30.0,10.0
San Marino,SMR,33000,61,,,,,,,,,5.3,,,,15.0,,,,1,1,0.94,,,,,,,,,,,26.7
Sao Tome and Principe,STP,200000,964,30.8,,0.589,,,0.6,3072.0,4.0,4.4,308.0,3.7,68.0,13.0,13.6,69.5,31.9,2,2,0.22,-0.8,-0.8,-0.68,0.14,28.2,39.4,38.0,82.0,53.6,30.0,18.2
Saudi Arabia,SAU,33000000,2149690,45.9,,0.853,6.29,62.6,1750.9,55158.0,3.4,6.3,,,,16.0,5.5,52.0,40.0,7,7,-0.62,0.3,0.0,0.1,0.36,60.2,49.9,53.1,99.7,59.6,50.0,19.9
Senegal,SEN,16000000,192530,40.3,21.9,0.505,4.68,38.4,39.7,2577.0,6.5,9.0,97.0,7.4,78.0,9.0,9.5,72.7,30.2,2,2,-0.04,-0.3,-0.2,-0.15,-0.09,40.4,42.6,41.3,68.5,55.7,40.0,41.8
Serbia,SRB,7000000,77474,38.7,29.0,0.787,5.12,54.9,101.8,14493.0,0.7,9.4,,4.2,259.0,15.0,16.5,40.6,44.5,3,2,0.1,0.2,0.0,-0.19,-0.37,48.2,36.5,46.2,83.5,62.5,50.0,34.4
Seychelles,SYC,100000,455,,,0.797,,59.1,2.6,27602.0,4.4,3.4,867.0,,,14.0,,63.0,35.1,3,3,0.68,0.4,-0.2,0.1,0.68,38.8,38.8,60.7,73.4,61.6,30.0,21.2
Sierra Leone,SLE,8000000,71620,34.0,15.3,0.419,4.09,32.9,10.8,1672.0,-21.5,18.3,256.0,2.7,19.0,,3.0,89.8,18.4,3,3,0.03,-1.2,-0.9,-0.79,-0.59,29.6,22.0,33.6,79.9,51.8,20.0,12.4
